IntendedDistance_m,Location,average_depth_m
4,outdoor1stfloor,4.443682301894765
4,outdoor1stfloor,4.167105326132002
4,outdoor1stfloor,4.110116137249018
4,outdoor1stfloor,4.0439975759906215
4,outdoor1stfloor,4.22747647495955
4,outdoor1stfloor,4.256767048546762
4,outdoor1stfloor,4.630917830667391
4,outdoor1stfloor,4.097717358208881
4,outdoor1stfloor,3.9769869536026174
4,outdoor1stfloor,4.58492641404157
4,outdoor1stfloor,4.24152739347061
4,outdoor1stfloor,4.207812444758317
4,outdoor1stfloor,4.214151241828101
4,outdoor1stfloor,4.128102760176915
4,outdoor1stfloor,4.222261858577755
4,outdoor1stfloor,4.162604110596059
4,outdoor1stfloor,4.2582432818404685
4,outdoor1stfloor,4.442097962250368
4,outdoor1stfloor,3.972135813204382
4,outdoor1stfloor,4.0854914221205965
4,outdoor1stfloor,4.324494848259617
4,outdoor1stfloor,4.246597670056986
4,outdoor1stfloor,4.29195632817142
4,outdoor1stfloor,4.211972882984797
4,outdoor1stfloor,4.0482288324730815
4,outdoor1stfloor,3.942404459406053
4,outdoor1stfloor,4.22503490504856
4,outdoor1stfloor,4.747915085584804
4,outdoor1stfloor,4.017462778847403
4,outdoor1stfloor,4.394566966223908
4,outdoor1stfloor,4.339241174741235
4,outdoor1stfloor,4.322504380673276
4,outdoor1stfloor,4.097323261664055
4,outdoor1stfloor,4.485117599521125
4,outdoor1stfloor,4.42901339138617
4,outdoor1stfloor,4.6039425690081215
4,outdoor1stfloor,4.327824415275345
4,outdoor1stfloor,4.112445195330656
4,outdoor1stfloor,4.224629697062011
4,outdoor1stfloor,4.62652532561627
4,outdoor1stfloor,4.186510494282768
4,outdoor1stfloor,4.898223720821405
4,outdoor1stfloor,4.3241096094810105
4,outdoor1stfloor,4.110577379127061
4,outdoor1stfloor,4.265579043301327
4,outdoor1stfloor,4.315834938884708
4,outdoor1stfloor,4.532337377824723
4,outdoor1stfloor,4.574315298058254
4,outdoor1stfloor,4.303761739896571
4,outdoor1stfloor,3.6467868322124968
4,outdoor1stfloor,4.310926787036506
4,outdoor1stfloor,4.042035462726562
4,outdoor1stfloor,4.240706129659853
4,outdoor1stfloor,4.26638304616892
4,outdoor1stfloor,4.366594578263031
4,outdoor1stfloor,4.313340157215785
4,outdoor1stfloor,4.421059443438524
4,outdoor1stfloor,4.118472184412441
4,outdoor1stfloor,4.03392972302164
4,outdoor1stfloor,4.514386999871013
4,outdoor1stfloor,4.110253897737844
4,outdoor1stfloor,4.304541485318937
4,outdoor1stfloor,4.199588042606974
4,outdoor1stfloor,4.209408962357146
4,outdoor1stfloor,4.228674491793611
4,outdoor1stfloor,4.75994343938157
4,outdoor1stfloor,4.420864970037977
4,outdoor1stfloor,4.727338803458804
4,outdoor1stfloor,4.174623229435512
4,outdoor1stfloor,4.378949915591289
4,outdoor1stfloor,4.545062085414833
4,outdoor1stfloor,4.528773812043979
4,outdoor1stfloor,4.407380394795646
4,outdoor1stfloor,4.204878015036295
4,outdoor1stfloor,4.255575552596272
4,outdoor1stfloor,4.418570911433915
4,outdoor1stfloor,5.268702049735769
4,outdoor1stfloor,4.01219905015582
4,outdoor1stfloor,4.054516814322243
4,outdoor1stfloor,3.989076248243634
4,outdoor1stfloor,4.227742324494257
4,outdoor1stfloor,4.655848913293864
4,outdoor1stfloor,4.379949138333168
4,outdoor1stfloor,4.607054847047936
4,outdoor1stfloor,4.37730890356318
4,outdoor1stfloor,4.217106129155539
4,outdoor1stfloor,4.322485954002359
4,outdoor1stfloor,3.903095688400533
4,outdoor1stfloor,4.305423173684293
4,outdoor1stfloor,4.504785497439885
4,outdoor1stfloor,4.293289121557194
4,outdoor1stfloor,4.1763066897361405
4,outdoor1stfloor,4.6006112837526425
4,outdoor1stfloor,4.944526285272553
4,outdoor1stfloor,4.26846834318349
4,outdoor1stfloor,4.536080869403224
4,outdoor1stfloor,4.210812646720677
4,outdoor1stfloor,4.580190346997196
4,outdoor1stfloor,4.687067627050316
4,outdoor1stfloor,4.413516564770965
4,outdoor1stfloor,4.332468335793858
4,outdoor1stfloor,4.083439001815967
4,outdoor1stfloor,4.454898951092135
4,outdoor1stfloor,4.4850553912969415
4,outdoor1stfloor,4.442575928450317
4,outdoor1stfloor,4.376704936252541
4,outdoor1stfloor,4.230842429693226
4,outdoor1stfloor,4.251748269250516
4,outdoor1stfloor,4.117256113379618
4,outdoor1stfloor,3.893450069721573
4,outdoor1stfloor,4.420943219778717
4,outdoor1stfloor,4.141017796687782
4,outdoor1stfloor,4.206980156871649
4,outdoor1stfloor,4.231997307699854
4,outdoor1stfloor,4.237827314348556
4,outdoor1stfloor,4.518435522045319
4,outdoor1stfloor,4.449925296490633
4,outdoor1stfloor,4.160484822458664
4,outdoor1stfloor,4.163535877603042
4,outdoor1stfloor,4.224705613768153
4,outdoor1stfloor,4.450230728490412
4,outdoor1stfloor,4.565682011860798
4,outdoor1stfloor,4.64613525003378
4,outdoor1stfloor,4.45042577980944
4,outdoor1stfloor,4.203065851808819
4,outdoor1stfloor,4.392234754074492
4,outdoor1stfloor,4.213896834764735
4,outdoor1stfloor,4.284650863774091
4,outdoor1stfloor,4.1998619108051125
4,outdoor1stfloor,4.455715608213663
4,outdoor1stfloor,4.546074211698599
4,outdoor1stfloor,4.144045179530536
4,outdoor1stfloor,4.359643582154349
