Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,area
2025-04-08 19:57:01.090,329,165,4,639,479,0.96,225150
2025-04-08 19:57:01.264,330,165,2,639,479,0.96,226098
2025-04-08 19:57:01.437,331,163,2,639,479,0.96,227052
2025-04-08 19:57:01.609,332,158,2,639,479,0.96,229437
2025-04-08 19:57:01.783,333,155,2,639,479,0.96,230868
2025-04-08 19:57:01.956,334,153,2,638,479,0.96,231345
2025-04-08 19:57:02.128,335,144,2,635,479,0.95,234207
2025-04-08 19:57:02.306,336,126,3,631,479,0.95,240380
2025-04-08 19:57:02.481,337,125,11,624,479,0.95,233532
2025-04-08 19:57:02.655,338,126,20,617,479,0.95,225369
2025-04-08 19:57:02.824,339,132,35,612,479,0.96,213120
2025-04-08 19:57:03.011,340,133,47,607,479,0.95,204768
2025-04-08 19:57:03.214,341,138,63,605,479,0.95,194272
2025-04-08 19:57:03.392,342,139,64,605,479,0.95,193390
2025-04-08 19:57:03.560,343,140,65,606,479,0.95,192924
2025-04-08 19:57:03.734,344,141,67,606,479,0.95,191580
2025-04-08 19:57:03.902,345,141,66,605,479,0.95,191632
2025-04-08 19:57:04.091,346,141,67,604,479,0.95,190756
2025-04-08 19:57:04.305,347,143,65,604,479,0.95,190854
2025-04-08 19:57:04.518,348,142,61,605,479,0.95,193534
2025-04-08 19:57:04.703,349,142,62,604,479,0.95,192654
2025-04-08 19:57:04.902,350,141,51,605,479,0.95,198592
2025-04-08 19:57:05.072,351,140,48,609,479,0.96,202139
2025-04-08 19:57:05.244,352,136,44,625,479,0.96,212715
2025-04-08 19:57:05.418,353,135,38,627,479,0.96,216972
2025-04-08 19:57:05.589,354,135,36,636,479,0.96,221943
2025-04-08 19:57:05.763,355,126,28,632,479,0.96,228206
2025-04-08 19:57:05.937,356,122,29,627,479,0.96,227250
2025-04-08 19:57:06.110,357,121,32,625,479,0.96,225288
2025-04-08 19:57:06.283,358,121,32,624,479,0.96,224841
2025-04-08 19:57:06.452,359,123,36,624,479,0.96,221943
2025-04-08 19:57:06.628,360,126,39,623,479,0.96,218680
2025-04-08 19:57:06.801,361,127,40,621,479,0.96,216866
2025-04-08 19:57:06.976,362,128,42,621,479,0.96,215441
2025-04-08 19:57:07.149,363,128,41,620,479,0.96,215496
2025-04-08 19:57:07.321,364,128,41,620,479,0.96,215496
2025-04-08 19:57:07.493,365,127,39,620,479,0.96,216920
2025-04-08 19:57:07.665,366,127,41,620,479,0.96,215934
2025-04-08 19:57:07.840,367,130,41,618,479,0.96,213744
2025-04-08 19:57:08.012,368,121,41,617,479,0.95,217248
2025-04-08 19:57:08.186,369,117,37,618,479,0.95,221442
2025-04-08 19:57:08.360,370,115,33,628,479,0.95,228798
2025-04-08 19:57:08.532,371,116,32,633,479,0.95,231099
2025-04-08 19:57:08.704,372,120,30,631,479,0.96,229439
2025-04-08 19:57:08.877,373,120,31,629,479,0.96,228032
2025-04-08 19:57:09.051,374,122,30,629,479,0.96,227643
2025-04-08 19:57:09.223,375,121,31,627,479,0.96,226688
2025-04-08 19:57:09.395,376,122,32,625,479,0.96,224841
2025-04-08 19:57:09.571,377,121,32,624,479,0.96,224841
2025-04-08 19:57:09.742,378,117,33,624,479,0.95,226122
2025-04-08 19:57:09.916,379,118,32,624,479,0.95,226182
2025-04-08 19:57:10.088,380,119,33,617,479,0.95,222108
2025-04-08 19:57:10.272,381,119,32,618,479,0.95,223053
2025-04-08 19:57:10.442,382,117,30,619,479,0.95,225398
2025-04-08 19:57:10.612,383,117,30,620,479,0.95,225847
2025-04-08 19:57:10.800,384,115,29,620,479,0.96,227250
2025-04-08 19:57:10.998,385,113,29,620,479,0.95,228150
2025-04-08 19:57:11.180,386,113,28,621,479,0.95,229108
2025-04-08 19:57:11.343,387,112,27,624,479,0.96,231424
2025-04-08 19:57:11.516,388,112,27,622,479,0.96,230520
2025-04-08 19:57:11.689,389,112,25,618,479,0.96,229724
2025-04-08 19:57:11.868,390,113,24,615,479,0.95,228410
2025-04-08 19:57:12.043,391,113,27,616,479,0.96,227356
2025-04-08 19:57:12.217,392,115,29,623,479,0.95,228600
2025-04-08 19:57:12.390,393,115,28,617,479,0.96,226402
2025-04-08 19:57:12.566,394,116,30,616,479,0.95,224500
2025-04-08 19:57:12.727,395,116,28,616,479,0.96,225500
2025-04-08 19:57:12.901,396,114,28,616,479,0.95,226402
2025-04-08 19:57:13.073,397,113,27,615,479,0.95,226904
